email,is_valid,campaign_name
elizabethyoung@williams.com,True,1
georgewayne@gmail.com,True,1
wjones@rojas-hahn.com,True,1
scotttorres@lee.org,True,1
phillipwong@galvan.biz,True,1
sarah21@hotmail.com,True,1
murrayalex@yahoo.com,True,1
madisondixon@hotmail.com,True,1
philip25@hotmail.com,True,1
andersonjoseph@yahoo.com,True,1
craig61@wilson-hughes.info,True,1
tsmith@yahoo.com,True,1
katrina48@gmail.com,True,1
hinestimothy@gmail.com,True,1
bkerr@yahoo.com,True,1
amandafrancis@collins.com,True,1
mrivera@gmail.com,True,1
tgonzales@yang-cobb.com,True,1
charlesolsen@vargas.com,True,1
randallwilliam@yahoo.com,True,1
alejandro58@townsend.com,True,1
ocrawford@hotmail.com,True,1
craighaley@fox.com,True,1
ybird@yahoo.com,True,1
nperez@richardson.com,True,1
ryan93@harper.com,True,1
josephvega@gmail.com,True,1
espinozabrooke@williams.com,True,1
carolyoung@yahoo.com,True,1
gmorrison@hotmail.com,True,1
wjacobs@hotmail.com,True,1
joel58@ball.org,True,1
rherrera@yahoo.com,True,1
kleingail@hotmail.com,True,1
christopher75@gmail.com,True,1
rodriguezdebra@french-howell.com,True,1
alberthiggins@yahoo.com,True,1
josephhogan@yahoo.com,True,1
trevor73@hotmail.com,True,1
benjaminnelson@hotmail.com,True,1
oduncan@hotmail.com,True,1
wyattmindy@hotmail.com,True,1
judy88@mercado-davis.info,True,1
greermark@harrell-martinez.com,True,1
littlemartha@gmail.com,True,1
jenniferwilliams@gmail.com,True,1
lee14@brown-lee.com,True,1
jstewart@gmail.com,True,1
kimberly96@yahoo.com,True,1
johnduarte@gmail.com,True,1
robertsonjames@gmail.com,True,1
pmoore@simmons-summers.com,True,1
larry53@yahoo.com,True,1
samantha97@hotmail.com,True,1
madams@yahoo.com,True,1
qjones@pacheco-acevedo.com,True,1
hhughes@carey.info,True,1
floresjenna@lawson.com,True,1
jasonaguirre@yahoo.com,True,1
lauren61@mcclain.com,True,1
piercedale@cox-ingram.info,True,1
xthomas@gonzalez.com,True,1
owilson@hotmail.com,True,1
smendez@griffin.com,True,1
joellevy@kim.com,True,1
agrant@yahoo.com,True,1
amandaduarte@hotmail.com,True,1
buckleyjessica@price.net,True,1
ogill@hotmail.com,True,1
johnsonalyssa@hotmail.com,True,1
michelle04@yahoo.com,True,1
kristinabryan@mayo-ibarra.com,True,1
zimmermanrebecca@gmail.com,True,1
michaelgonzalez@robinson-acosta.com,True,1
amy04@hotmail.com,True,1
zachary37@douglas.com,True,1
dawn56@snow.com,True,1
pberry@gmail.com,True,1
vlowery@yahoo.com,True,1
sarayoung@austin-williams.com,True,1
baldwinshannon@davis-hall.com,True,1
samantha39@yahoo.com,True,1
jessicajackson@gmail.com,True,1
georgebright@hotmail.com,True,1
grahamchad@melton.biz,True,1
nataliegilbert@hotmail.com,True,1
turneramy@dunn.org,True,1
cowannicholas@gmail.com,True,1
khanaaron@gregory-garrison.com,True,1
